row 1,row 2,row 3,row 4,row 5,row 6,row 7,row 8,row 9,row 10
17.Sep.B04.03,8,8.9,0.2,10.1,0.2,36.5,0.3,3300,100
17.Sep.B04.04,5,9,0.1,10,0.5,36.8,0.3,3312,172
17.Sep.B04.05,6,9,1,10,1,37,1,3330,0.1519
17.Sep.B04.06,8,9,0.5,10.4,0.5,36.9,0.5,3453.84,404.1
17.Sep.B04.07,6,9,0.1,10.4,0.1,36.8,0.1,3440,80
17.Sep.B04.08,3,9,0.5,10,0.5,36,0.5,3240,250
17.Sep.B04.09,3,9,1,10,1,36,1,3240,774
17.Sep.B04.10,7,9,0.5,11,0.5,37,0.5,3663,267.55
17.Sep.B04.11,1,9.1,0.2,10.2,0.2,36.8,0.5,3400,100
17.Sep.B04.12,9,9,0.2,10.3,0.3,36.8,0.3,3411.36,202.98
17.Sep.B04.13,1,9.25,0.25,10.25,0.25,37,0.25,3508,0.433
17.Sep.B04.14,4,9,0.082,10.225,0.171,36.775,0.216,3384.22,65.486
17.Sep.B04.15,2,9,0.01,10.25,0.08,37,0.01,3413,27
18.Feb.B01.01,1,9.1,0.2,10.7,0.2,36.9,0.2,3590,0
18.Feb.B01.02,3,8.5,0.5,9.5,0.5,35.5,0.5,2866.625,230
18.Feb.B01.03,4,9,0.1,10,0.1,37,0.1,3330,80
18.Feb.B01.04,5,9,0.5,10.5,0.5,36.7,0.5,3468,405
18.Feb.B01.05,6,8.9,0.5,10.5,0.5,36.8,0.5,3439,258
18.Feb.B01.06,7,9,0.1,10,0.2,36.5,0.3,3285,79.7
18.Feb.B01.07,8,9,0.5,10,0.5,37,0.5,3330,253
18.Feb.B01.08,9,9.3,0.3,10.8,0.3,36.9,0.3,3700,105
18.Feb.B01.09,10,9,0.2,10.4,0.3,36.8,0.3,3444.48,6.93
18.Feb.B02.01,2,9.3,0.1,10.6,0.1,36.7,0.1,3620,53
18.Feb.B02.02,3,8,0.5,11,0.5,37,0.5,3256,255
18.Feb.B02.03,7,8.9,0.5,10.5,0.5,36.8,0.5,3438.96,0.866
18.Feb.B02.04,8,9.1,0.3,10.5,0.3,36.7,0.3,3506.7,0.5
18.Feb.B02.05,9,9.1,0.04,10.1,0.26,37,0.26,3300,0.37
18.Feb.B02.06,4,9.2,1.211,10.4,1.414,37.1,1.414,3549.7,74.29
18.Feb.B02.07,6,9,0,10.05,0.486,36.4,0.72,3292.38,28.5
18.Sep.B01.01,1,9,0.5,10.5,0.5,37,0.5,3496.5,0.125
18.Sep.B01.02,1,9.1,0.2,10.5,0.3,37,0.2,3535.35,0.412
18.Sep.B01.03,2,9,0.4,10.2,0.4,36.9,0.4,3400,200
18.Sep.B01.04,2,9,0.1,11,0.15,37,0.2,3663,0.27
18.Sep.B01.05,3,9,0.5,10,0.5,36.5,0.5,3285,391.75
18.Sep.B01.06,3,8.92,0.03,10.32,0.03,36.88,0.03,3395,15
18.Sep.B01.07,4,9.2,0.25,10.4,0.25,36.8,0.25,3521.024,129.9645
18.Sep.B01.08,4,9,0.2,10,0.1,36.8,0.2,3312,82.7
18.Sep.B01.09,5,9,0.5,10.5,0.5,37,0.5,3496.5,410
18.Sep.B01.10,5,9,0.25,10.5,0.5,36.5,0.5,3449.25,307
18.Sep.B01.11,6,9.1,0.2,10.3,0.25,31.7,0.25,2971.2,100.5
18.Sep.B01.12,6,9,0.2,10.5,0.2,36.7,0.2,3470,160
18.Sep.B02.1,1,9,0.5,10.5,0.5,37,0.5,3496.5,260.2
18.Sep.B02.2,2,9.5,0.5,10.5,0.5,36.8,0.5,3700,300
18.Sep.B02.3,3,9,1,10,1,37,1,3330,850
18.Sep.B02.4,4,9,0,10,0,37,0,3330,0
18.Sep.B02.5,4,9,0.5,10,0.5,37,0.5,3330,300
18.Sep.B02.6,6,9,1,10,1,36,1,3240,1200
18.Sep.B02.7,6,9.5,0.5,10.5,0.5,36.5,0.5,3640.9,263.2
18.Sep.B02.8,5,9,0.5,10.5,0.5,36.5,0.5,3450,50
18.Sep.B02.9,7,9,0.5,10.2,0.5,37,0.5,3396.6,260
18.Sep.B02.10,7,9.1,0.1,10.5,0.1,36.66,0.27,3502.86,57.1
18.Sep.B02.11,8,9,0.5,10,0.5,32,1,,233
18.Sep.B02.12,8,9,0.5,10.5,0.5,36.5,0.5,3400,300
18.Sep.B02.13,9,8.9,0.14,10.2,0.52,36.5,0.21,3313.47,177.8
18.Sep.B02.14,10,9,0.1,10,0.1,36.7,0.3,3303,3
18.Sep.B02.15,10,9,0.144,10,0.144,37,0.144,3330,73
18.Sep.B03.01,1,9,0.25,10.5,0.25,37,0.25,3496.5,0.433
18.Sep.B03.02,2,9.1,0.08,10.5,0.17,37,0.06,3535.4,0.2
18.Sep.B03.03,3,9,0.5,10,0.5,36,1,3240,253
18.Sep.B03.04,4,9,0.25,10.5,0.25,37,0.25,3500,70
18.Sep.B03.05,5,9,0.1,10,0.3,37,0.3,3330,163.9
18.Sep.B03.06,6,9.2,0.5,10.5,0.5,37,0.5,3570,300
18.Sep.B03.07,7,9,0.5,10.5,0.5,36.5,0.5,3449.25,403
18.Sep.B03.08,8,9.5,0.2,11,0.2,37,0.2,3866.5,109.6
18.Sep.B03.09,9,9,0.2,10,0.2,37,0.2,3240,0.35
18.Sep.B03.10,10,9,0.5,10.1,0.5,38.8,0.5,35300,2700
18.Sep.B04.01,4,9,0.25,10.5,0.25,37,0.25,3496.5,130.08
18.Sep.B04.02,3,9,0.5,10,0.5,36,0.5,3240,250
18.Sep.B04.03,5,9,0.1,10.2,0.1,36.8,0.1,3400,80
18.Sep.B04.04,10,9.1,0.1,10.3,0.1,36.7,0.3,3440,58
18.Sep.B04.05,9,9,1,11,1,37,1,3663,8.8
18.Sep.B04.06,7,9,0.4,10,0.4,36.2,0.4,3258,0.064
18.Sep.B04.07,6,9,0.5,10,0.5,36,0.5,3240,247.07
18.Sep.B04.08,1,9,0.5,10,0.5,37,0.5,3330,253
18.Sep.B04.09,8,9,0.005,10.5,0.005,36.7,0.045,3468.15,0.055
18.Sep.B04.10,4,9,0.5,10.5,0.5,36.5,0.5,3450,66
18.Sep.B04.11,2,8.865,0.191,10.155,0.219,36.755,0.346,3308.065,31.02
18.Sep.B04.12,7,9,0.5,10,0.5,36,0.5,3200,300
19.Feb.B01.01,5,9.2,0.2,10.4,0.2,37,0.2,476.56,22.1
19.Feb.B01.02,2,9,0.5,10.5,0.5,37,0.5,3500,400
19.Feb.B01.03,1,8.75,0.25,10.5,0.25,36.75,0.25,3380,200
19.Feb.B01.04,3,9,0.6,10.3,0.6,36.7,0.6,3400,300
19.Feb.B01.05,6,9.1,0.3,10.2,0.3,36.7,0.3,3406.5,240
19.Feb.B01.06,10,8.8,0.1,10,0.1,36.6,0.2,3200,86.4
19.Feb.B01.07,9,9.1,0.2,10.2,0.2,36.7,0.2,3406.494,102.036
19.Feb.B02.01,1,9,1,10,1,37,1,3330,505.9
19.Feb.B02.02,2,8,1,10,1,37,1,3330,3
19.Feb.B02.03,3,9,0.3,10.3,0.3,37,0.3,3429,0.52
19.Feb.B02.04,4,9,1,10,1,37,1,3330,3
19.Feb.B02.05,5,9,0.5,10.5,0.5,37,0.5,3500,260.2
19.Feb.B02.06,5,9,0.5,10,0.5,36.5,0.5,3280,0.25
19.Feb.B02.07,6,9,0.3,10.3,0.3,36.8,0.3,3411,8.5
19.Feb.B02.08,6,9,0.1,10,0.5,37,0.2,3330,0.8
19.Feb.B02.09,7,9,0.5,10.5,0.5,36.5,0.5,3449.25,0.93
19.Feb.B02.10,8,8.5,0.5,10.5,0.5,36.1,0.5,3220,247.9
19.Feb.B02.11,8,9,0.2,10,0.3,37,0.4,3330,209.9
19.Feb.B02.12,9,9,0.3,10.3,0.3,36.8,0.3,3411,8.5
19.Feb.B02.13,10,9.1,0.4,10.3,0.4,36.9,0.4,3459,210
19.Feb.B02.14,10,9,0.33,9.83,0.33,36.83,0.33,3260,170
19.Sep.B01.01,1,9.1,0.3,10.4,0.3,36.5,0.3,3500,200
19.Sep.B01.02,2,9.05,0.13,10.3,0.1,36.7,0.29,3420,65.2
19.Sep.B01.03,3,9,0.2,10.3,0.2,38,0.5,3411.36,57.45
19.Sep.B01.04,4,9.08,0.0374,10.42,0.058,37.24,0.12,3523.41,0.138
19.Sep.B01.05,5,9,0.2,10.2,0.25,36.8,0.25,3400,115
19.Sep.B01.06,6,9,0.3,10,0.3,37,0.3,3330,146
19.Sep.B01.07,7,9,0.5,10.5,0.5,37,0.5,3496.5,184.7
19.Sep.B01.08,8,8.8,0.04,10,0,36,0.1,3200,0.1
19.Sep.B01.09,9,9.2,0.1,10.2,0.2,32,0.3,3002.88,0.006
19.Sep.B01.10,10,9,0.5,10,0.5,36.5,0.5,3285,249.6
19.Sep.B02.01,9,9,0.3,10.1,0.3,36.8,0.3,3300,150
19.Sep.B02.02,8,9,0.5,10.5,0.5,36.5,0.5,3449.25,400
19.Sep.B02.03,4,9,0.5,10.5,0.5,37,0.5,3496.5,408
19.Sep.B02.04,2,9.1,0.2,10.6,0.4,36.5,0.4,3520,156
19.Sep.B02.05,5,9,0.5,10,0.5,36,0.5,3200,250
19.Sep.B02.06,6,9,0.5,10,0.5,37,0.5,3330,253
19.Sep.B02.07,6,9,0.5,10.5,0.5,37,0.5,3496.5,260
19.Sep.B02.08,3,8.5,0.7,10,0.5,36.5,0.5,3102.5,542.9
19.Sep.B02.09,10,10,0.5,9,0.5,37,0.5,3330,4.38
19.Sep.B02.10,5,9,0.09,10.3,0.206,36.75,0.735,3406.725,102.20175
19.Sep.B02.11,7,9.2,0.2,10.4,0.2,36.7,0.2,3511.456,103.7
19.Sep.B02.12,4,9.1,0.1,10.2,0.1,37,0.1,3430,80
19.Sep.B02.13,9,8.9967,0.188,10.32,0,36.1525,0,3356.613,70.1416
19.Sep.B03.01,1,9,0.5,10.5,0.5,37,0.5,3500,260
19.Sep.B03.02,2,9,0.1,10,0.2,37,0.2,3330,0.3
19.Sep.B03.03,3,9.2,0.2,10.5,0.2,36.8,0.2,3554.9,0.35
19.Sep.B03.04,4,9,0.5,10,0.5,36.5,0.5,3285,390
19.Sep.B03.05,5,9,0.1,10.5,0.1,36.8,0.1,3477.6,51.76
19.Sep.B03.06,6,9.1,0.1,10.2,0.1,36.2,0.2,3360,10
19.Sep.B03.07,7,9.1,0.1,10.5,0.1,36.8,0.1,3516.24,0.001
19.Sep.B03.08,8,9,0.1,10.5,0.1,36.6,0.2,3458.7,0.03
