row 1,row 2,row 3,row 4,row 5,row 6,row 7,row 8,row 9,row 10
15.Sep.B02.14,9,9,0.5,10,0.5,37,0.5,3330,400
15.Sep.B03.01,5,9,0.3,10.5,0.3,36.6,0.3,3460,150
15.Sep.B03.02,9,9,0.5,11,0.5,37,0.5,3663,258
15.Sep.B03.03,10,9.1,0.5,10.4,0.5,36.8,0.5,3480,260
15.Sep.B03.04,9,8.8,0.15,10.3,0.15,36.6,0.15,3320,80
15.Sep.B03.05,3,8.9,0.5,10.3,0.5,36.6,0.5,3400,250
15.Sep.B03.06,6,9,1,10,1,36,0.1,3200,390
15.Sep.B03.07,10,9,0.5,10,0.5,37,0.5,3330,250
15.Sep.B03.08,8,9,0.4,10.7,0.4,37,0.6,3600,140
15.Sep.B03.09,7,9,0.5,10,0.5,37,0.5,3300,130
15.Sep.B03.10,9,9,0.3,10,0.3,36.6,0.3,3330,0.52
15.Sep.B04.01,10,9,0.5,10,0.5,37,0.5,3330,392.7
15.Sep.B04.02,6,9,1,10,1,37,1,3300,300
15.Sep.B04.03,5,9.1,0.5,10.5,0.5,36.8,0.5,3520,260
15.Sep.B04.04,7,9.2,0.5,10.3,0.5,37,0.5,3500,260
15.Sep.B04.05,4,9,0.1,10.4,0.1,36.9,0.1,3450,50
15.Sep.B04.06,8,9,0.05,10.3,0.17,37.18,0.09,3440,60
16.Feb.B01.01,7,9,0.05,10,0.1,36.5,0.05,3285,37.85
16.Feb.B01.02,7,9,0.1,10,0.1,37,0.5,3330,70
16.Feb.B01.03,8,9,1,10,1,37,1,3330,1.732050808
16.Feb.B01.04,3,8.8,0.1,10.2,0.1,36.6,0.1,3309.9,39
16.Feb.B01.05,9,9,0.1,10,0.2,36.7,0.3,3303,80.24845
16.Feb.B01.06,4,9,0.1,10,0.1,37,0.1,3330,50.6
16.Feb.B01.07,3,8.8,0.2,10,0.2,36.6,0.2,3220.8,99.8
16.Feb.B01.08,1,9,1,11,1,37,1,3663,0.15
16.Feb.B01.09,2,9,0.3,11,0.2,37,0.5,3700,90
16.Feb.B01.10,4,9.1,0.2,10.2,0.2,32,0.2,2970.24,139.6
16.Feb.B01.11,5,9,0.1,10,0.1,37,0.1,3330,0.3
16.Sep.B01.01,5,9,0.5,10.2,0.5,36.8,0.5,3378.2,0.87
16.Sep.B01.02,3,9,0,10,0.1,37,0.06,3400,0.164
16.Sep.B01.03,4,9.02,0.02,10.16,0.02,36.72,0.05,3365.14,11.8
16.Sep.B01.04,6,9.1,0.4,10.3,0.4,36.8,0.4,3449,206
16.Sep.B01.05,2,9.2,0.1,10.4,0.1,36.9,0.1,3530,115
16.Sep.B01.06,1,8.8,0.2,10.5,0.3,37.1,0.3,3400,130
16.Sep.B01.07,8,9,0.05,10.4,0.25,36.8,0.15,3444.48,0.3
16.Sep.B03.01,9,9,0.25,10,0.25,36.75,0.25,3308,126.3
16.Sep.B03.02,2,9,0.5,10,0.5,37,0.5,3330,252.9
16.Sep.B03.03,1,9,1,10.8,1.4,37,1,3596.4,611.4
16.Sep.B03.04,10,9,0.67,10.5,0.67,36.8,0.67,3411,339
16.Sep.B03.05,8,9,0.5,10.5,0.5,36,0.5,3400,300
16.Sep.B03.06,7,9,0.5,10.5,0.5,37,0.5,3500,300
